City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
381,Kinshasa,CD,-0.2167,20.8667,75.0,81,57,1.59,broken clouds
382,Kahului,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
383,Karratha,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
384,Hambantota,LK,6.1241,81.1185,77.34,100,20,4.61,few clouds
385,Attawapiskat,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
386,Northam,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
387,Mackay,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
388,Guerrero Negro,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
389,Gamba,GA,-2.65,10.0,69.49,95,90,4.36,overcast clouds
390,Muskego,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
391,Kampot,KH,10.6167,104.1833,75.25,94,100,5.93,light rain
392,Mana,GF,4.9333,-52.3333,82.44,1,40,8.05,scattered clouds
393,Basco,ID,-3.7508,103.6372,71.1,98,37,1.88,scattered clouds
394,Nikolskoye,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
395,Acurenam,GQ,1.0322,10.6488,67.23,96,100,4.16,overcast clouds
396,Saint George,US,37.1041,-113.5841,107.94,14,0,11.5,clear sky
397,Huarmey,PE,-15.6383,-71.6011,55.87,28,34,4.0,scattered clouds
398,Faanui,PF,-9.8,-139.0333,77.74,74,8,15.12,clear sky
399,North Ogden,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
400,Mujiayingzi,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
401,Dandong,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
402,Conceicao Da Barra,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
403,Bereznik,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
404,Dzerzhinskoye,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
405,Chapais,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
406,Puerto Baquerizo Moreno,EC,-0.7393,-90.3518,78.76,100,94,8.99,overcast clouds
407,Awbari,LY,26.5921,12.7805,83.82,20,0,5.59,clear sky
408,Honningsvag,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
409,Pangody,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
410,Hokitika,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
411,Ponta Do Sol,CV,14.8961,-24.4956,76.51,88,75,5.82,broken clouds
412,Lazaro Cardenas,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
413,Jumla,NP,29.2747,82.1838,63.73,97,100,1.45,overcast clouds
414,Mattru,CA,43.7501,-81.7165,77.92,94,75,18.41,broken clouds
415,Dukat,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
416,Hay River,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
417,Anito,ID,-3.7508,103.6372,71.1,98,37,1.88,scattered clouds
418,Caravelas,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
419,Camacupa,AO,-12.3833,16.9333,54.88,42,8,0.34,clear sky
420,Lasa,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
421,Nanakuli,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
422,Sjenica,RS,43.2731,19.9994,58.28,55,0,0.87,clear sky
423,Gornopravdinsk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
424,Bozoum,CF,8.0777,22.4007,67.69,97,44,1.41,light rain
425,Tubuala,PA,8.5196,-81.7115,63.68,93,100,1.3,overcast clouds
426,Skalistyy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
427,Ahuimanu,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
428,Mubende,UG,0.5606,31.39,60.17,67,30,0.69,scattered clouds
429,Carlsbad,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
430,Gat,LY,26.5921,12.7805,83.82,20,0,5.59,clear sky
431,Grand River South East,MU,-20.0064,57.6608,68.4,75,94,10.0,light rain
432,Lagoa,PT,32.6667,-17.1,73.71,81,5,7.23,clear sky
433,Riberalta,CO,6.3463,-75.5089,81.03,53,40,13.8,scattered clouds
434,Amapa,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
435,Henties Bay,NA,-26.6481,15.1594,56.61,61,3,16.51,clear sky
436,Lodwar,KE,3.1191,35.5973,78.6,52,79,16.49,broken clouds
437,Bubaque,GW,11.2833,-15.8333,76.64,92,100,16.91,moderate rain
438,Isangel,VU,-19.55,169.2667,80.71,89,40,4.61,scattered clouds
439,Abu Samrah,SY,35.3029,37.1841,76.51,55,0,12.93,clear sky
440,Tarragona,ID,-3.7508,103.6372,71.1,98,37,1.88,scattered clouds
441,San Cristobal,EC,-0.7393,-90.3518,78.76,100,94,8.99,overcast clouds
442,Sola,VU,-19.55,169.2667,80.71,89,40,4.61,scattered clouds
443,Bolitoc,ID,-3.7508,103.6372,71.1,98,37,1.88,scattered clouds
444,Kouango,CF,8.0777,22.4007,67.69,97,44,1.41,light rain
445,Oktyabrskiy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
446,Belushya Guba,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
447,Havoysund,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
448,Pevek,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
449,Guaruja,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
450,Crestview,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
451,Honiara,PT,40.1629,-8.3327,60.6,89,0,1.63,clear sky
452,Big Rapids,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
453,Namibe,AO,-12.3833,16.9333,54.88,42,8,0.34,clear sky
454,Clyde River,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
455,Loubomo,CG,-4.1997,12.6739,68.07,87,67,4.07,broken clouds
456,Guiyang,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
457,Plettenberg Bay,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
458,Wembley,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
459,Poindimie,NC,-22.6667,167.4833,73.89,88,98,10.2,overcast clouds
460,Kortkeros,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
461,Hamilton,US,37.1041,-113.5841,107.94,14,0,11.5,clear sky
462,Hillsborough,US,37.5741,-122.3794,91.29,66,20,20.71,few clouds
463,Hami,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
464,Banepa,NP,29.2747,82.1838,63.73,97,100,1.45,overcast clouds
465,Nambour,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
466,Smithers,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
467,Muroto,JP,35.1333,140.3,78.82,82,64,9.1,broken clouds
468,Shitanjing,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
469,Ambulu,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
470,Rakovnik,CZ,49.4783,15.6499,73.62,57,52,6.71,broken clouds
471,Dengzhou,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
472,Tromso,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
473,Sao Joaquim,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
474,Zvishavane,ZW,-20.3267,30.0665,62.13,66,97,1.16,light rain
475,Zhuhai,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
476,Santa Rosa,AR,-54.8,-68.3,31.66,86,100,21.85,snow
477,Dakar,SN,14.6937,-17.4441,80.73,89,75,2.3,broken clouds
478,Limenaria,GR,40.6261,24.5786,75.94,63,0,1.1,clear sky
479,Hondo,JP,35.1333,140.3,78.82,82,64,9.1,broken clouds
480,Timaru,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
481,Teahupoo,PF,-9.8,-139.0333,77.74,74,8,15.12,clear sky
482,Aden,YE,12.7794,45.0367,83.05,72,100,13.24,overcast clouds
483,Santiago De Cuba,CU,22.5206,-79.4669,84.04,73,8,15.12,clear sky
484,Luanda,AO,-12.3833,16.9333,54.88,42,8,0.34,clear sky
485,Havre,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
486,Sharanga,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
487,Grafton,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
488,Lisakovsk,KZ,51.1,66.3167,68.81,63,71,6.73,broken clouds
489,Sistranda,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
490,Piney Green,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
491,Urdzhar,KZ,51.1,66.3167,68.81,63,71,6.73,broken clouds
492,Richards Bay,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
493,Merauke,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
494,Letka,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
495,Abu Dhabi,AE,24.4667,54.3667,95.02,68,0,3.44,clear sky
496,Ventspils,LV,57.3894,21.5606,55.33,100,48,0.0,fog
497,Kingskettle,GB,50.1544,-5.0711,61.7,82,75,4.61,broken clouds
498,Roald,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
499,Smolenka,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
500,Wuhan,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
501,Santo Domingo Xenacoj,GT,14.5094,-92.1933,85.01,72,100,7.52,overcast clouds
502,Palabuhanratu,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
503,Kaeo,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
504,Shaunavon,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
505,Coihaique,CL,-41.8697,-73.8203,40.23,67,77,11.48,broken clouds
506,Imbituba,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
507,Saint-Francois,FR,46.4154,3.9054,65.64,77,0,2.3,clear sky
508,Sansai,TH,7.9178,98.3332,85.75,83,100,14.79,overcast clouds
509,Sibolga,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
510,Bhera,PK,32.2792,71.5539,97.95,40,7,8.03,clear sky
511,Challapata,CO,6.3463,-75.5089,81.03,53,40,13.8,scattered clouds
512,Tawang,IN,24.5167,86.65,82.58,77,100,4.23,overcast clouds
513,Ondjiva,AO,-12.3833,16.9333,54.88,42,8,0.34,clear sky
514,Mont-Dore,NC,-22.6667,167.4833,73.89,88,98,10.2,overcast clouds
515,Minsk,BY,53.9,27.5667,55.15,81,1,11.3,clear sky
516,Lensk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
517,Trairi,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
518,Novaya Ladoga,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
519,Taoudenni,ML,22.6783,-3.9836,94.84,34,55,17.54,broken clouds
520,Oistins,BB,13.0667,-59.5333,84.29,79,40,16.11,scattered clouds
521,Porbandar,IN,24.5167,86.65,82.58,77,100,4.23,overcast clouds
522,Palu,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
523,Magistralnyy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
524,Ust-Kamchatsk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
525,San Alberto,CO,3.8653,-67.9239,77.47,93,72,2.35,broken clouds
