City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Sile,TR,60.58,clear sky,38.0794,31.3664,Sarkikaraagac Ogretmenevi
297,Grand Centre,CA,56.91,overcast clouds,51.226,-58.6502,
298,Carnarvon,ZA,56.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
303,Vestmannaeyjar,IS,53.55,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
308,Hami,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
309,Berlevag,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
310,Altay,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
313,Upernavik,GL,50.36,few clouds,60.1432,-45.2371,Hotel Kap Farvel
317,Sioux Lookout,CA,56.91,overcast clouds,51.226,-58.6502,
331,Saint-Donat-De-Montcalm,CA,56.91,overcast clouds,51.226,-58.6502,
334,Visnes,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
335,Raudeberg,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
338,Oksfjord,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
339,Dongsheng,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
352,Urumqi,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
353,Safranbolu,TR,60.58,clear sky,38.0794,31.3664,Sarkikaraagac Ogretmenevi
354,Emirdag,TR,60.58,clear sky,38.0794,31.3664,Sarkikaraagac Ogretmenevi
355,Dayong,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
364,Prince Rupert,CA,56.91,overcast clouds,51.226,-58.6502,
366,Kathu,ZA,56.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
377,Port-Cartier,CA,56.91,overcast clouds,51.226,-58.6502,
378,Gander,CA,56.91,overcast clouds,51.226,-58.6502,
380,Snasa,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
383,Wulanhaote,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
384,Ginda,IN,66.11,overcast clouds,30.6945,78.4932,Sunil Bisht
386,Port Hardy,CA,56.91,overcast clouds,51.226,-58.6502,
389,Xiongshi,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
390,Kruisfontein,ZA,56.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
392,Shaowu,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
395,Haibowan,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
404,Lavara,GR,66.79,clear sky,41.2667,26.3833,
418,Maniitsoq,GL,50.36,few clouds,60.1432,-45.2371,Hotel Kap Farvel
421,High Level,CA,56.91,overcast clouds,51.226,-58.6502,
426,Miquelon,PM,60.8,overcast clouds,47.0975,-56.3814,Island Inn
427,Ihosy,MG,49.32,overcast clouds,-19.65,47.3167,Ilempona
429,Kloulklubed,TL,57.11,overcast clouds,-8.9266,125.4092,
430,Catalina,CA,56.91,overcast clouds,51.226,-58.6502,
437,Yumen,CN,65.64,overcast clouds,22.7886,100.9748,Changyu Hotel
441,Torbay,CA,56.91,overcast clouds,51.226,-58.6502,
443,Floro,NO,51.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
445,Shelburne,CA,56.91,overcast clouds,51.226,-58.6502,
454,Campbell River,CA,56.91,overcast clouds,51.226,-58.6502,
