City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Zaysan,KZ,48.8264,58.1442,69.53,44,97,8.41,overcast clouds
70,Luanda,AO,-8.8368,13.2343,68.0,88,6,5.75,clear sky
71,Acarau,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
72,Soure,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
73,Ponta Do Sol,PT,32.6667,-17.1,73.71,81,5,7.23,clear sky
74,Sarkikaraagac,TR,38.0794,31.3664,60.58,62,0,5.84,clear sky
75,Viedma,AR,-54.8,-68.3,31.66,86,100,21.85,snow
76,Partyzany,UA,49.5464,39.0899,59.77,93,100,7.34,light rain
77,Hay River,CA,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
78,Te Anau,NZ,-46.6,168.3333,39.79,72,100,6.96,overcast clouds
79,Oranjestad,AW,12.524,-70.027,85.95,70,20,25.32,few clouds
80,Saint George,US,37.1041,-113.5841,109.8,15,0,11.5,clear sky
81,Kapaa,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
82,Vaini,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
83,Suure-Jaani,EE,58.5361,25.4706,55.33,97,15,5.5,few clouds
84,Hermanus,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
85,Yazd,IR,31.8972,54.3675,82.51,16,0,4.61,clear sky
86,Port Arthur,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
87,Louisbourg,CA,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
88,Mwense,ZM,-10.3845,28.698,71.53,41,87,4.12,overcast clouds
89,Richards Bay,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
90,Ixtapa,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
91,Marhaura,IN,25.9667,84.8667,80.53,82,100,8.9,moderate rain
92,Hellvik,NO,71.0357,27.8492,51.75,100,0,2.3,clear sky
93,Yellowknife,CA,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
94,Atuona,PF,-23.1203,-134.9692,73.35,75,0,3.98,clear sky
95,Hihifo,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
96,Tongren,CN,22.7886,100.9748,65.64,98,100,2.08,overcast clouds
97,Nishihara,JP,35.0,132.2167,75.13,66,100,6.35,overcast clouds
98,Sabha,LY,27.0377,14.4283,83.23,22,0,10.49,clear sky
99,Ancud,CL,-53.15,-70.9167,35.62,80,75,23.02,broken clouds
100,Armacao Dos Buzios,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
101,Nguiu,US,42.6001,-73.9662,96.17,47,47,1.99,scattered clouds
102,Baherden,TM,38.4362,57.4316,88.65,15,0,3.83,clear sky
103,Denizli,TR,38.0794,31.3664,60.58,62,0,5.84,clear sky
104,Darnah,LY,32.767,22.6367,76.08,69,0,25.52,clear sky
105,Itamaraca,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
106,Iqaluit,CA,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
107,Tsihombe,MG,-19.65,47.3167,49.32,91,100,9.08,overcast clouds
108,Kodiak,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
109,Ilulissat,GL,60.1432,-45.2371,50.36,85,16,13.94,few clouds
110,Wagar,SD,16.1525,36.2032,77.4,71,100,23.89,overcast clouds
111,Pierre,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
112,New Norfolk,US,42.6001,-73.9662,96.17,47,47,1.99,scattered clouds
113,Arraial Do Cabo,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
114,Kushima,JP,35.0,132.2167,75.13,66,100,6.35,overcast clouds
115,Luwuk,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
116,Young,UY,-32.6833,-57.6333,61.32,94,100,5.75,overcast clouds
117,Tuatapere,NZ,-46.6,168.3333,39.79,72,100,6.96,overcast clouds
118,Aksu,KZ,48.8264,58.1442,69.53,44,97,8.41,overcast clouds
119,Nuevo Progreso,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
120,Ler,SD,16.1525,36.2032,77.4,71,100,23.89,overcast clouds
121,Portobelo,PA,9.55,-79.65,82.96,86,100,7.83,overcast clouds
122,Nata,PA,8.3333,-80.5167,85.87,87,100,3.62,overcast clouds
123,Laredo,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
124,Lebu,CL,-53.15,-70.9167,35.62,80,75,23.02,broken clouds
125,Richardson,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
126,Beira,MZ,-19.8436,34.8389,68.09,94,0,5.75,clear sky
127,Port Elizabeth,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
128,Medea,DZ,36.2642,2.7539,74.48,33,0,4.38,clear sky
129,Bowen,US,42.6001,-73.9662,96.17,47,47,1.99,scattered clouds
130,Ribeira Grande,PT,32.6667,-17.1,73.71,81,5,7.23,clear sky
131,Northam,US,42.6001,-73.9662,96.17,47,47,1.99,scattered clouds
132,Cortez,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
133,Bimbo,CF,4.2567,18.4158,70.95,97,98,1.32,overcast clouds
134,Conceicao Da Barra,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
135,Anshun,CN,22.7886,100.9748,65.64,98,100,2.08,overcast clouds
136,Palabuhanratu,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
137,Jhargram,IN,25.9667,84.8667,80.53,82,100,8.9,moderate rain
138,San Quintin,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
139,Bethel,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
